pais,nombre,url,canal,senal,fuente_tipo,estado_baseline,nota
MX,Guanajuato Inteligente 2024-2030,https://guanajuatointeligente.com,A.5,Gobierno estatal recolectó opiniones de 26.000+ ciudadanos en talleres en 46 municipios; IA analiza los aportes para identificar patrones de los principales problemas que alimentan los ejes del plan de gobierno (lanzado feb-2025).,prensa,nuevo,verificar software de IA específico
CO,Citibeats + PNUD Colombia (deliberación pública juvenil),https://www.undp.org/es/colombia/blog/analitica-de-datos-para-mejorar-la-deliberacion-publica-en-colombia,A.9,"El Laboratorio de Aceleración del PNUD usó Citibeats (IA) para monitorear y agrupar en tiempo real opiniones y propuestas de deliberación pública juvenil, identificando tópicos y clasificando los inputs ciudadanos.",institucional,nuevo,confirmar si es proceso participativo formal o social listening
BR,Brasil Participativo - clustering semantico (BERTopic+LLM),https://arxiv.org/abs/2509.21292;https://arxiv.org/abs/2511.01545;https://github.com/ResidenciaTICBrisa/BP-Classificador-de-Propostas,A.4,"Pipeline BERTopic + LLMs sobre decenas de miles de propuestas ciudadanas reales (Plano Clima, PPA Participativo, Congresso da Juventude) en la plataforma federal Brasil Participativo; clasifica con vocabulario controlado VCGE y genera reportes.",academico,nuevo,EVIDENCIA DE PRODUCCIÓN: paper 'From Pre-labeling to Production' (arXiv 2511.01545) + clasificador ML (UnB-LAPPIS). Resuelve la duda investigación vs despliegue oficial.
BR,e-Cidadania Senado - IA matching de ideas legislativas,https://www12.senado.leg.br/noticias/materias/2026/01/16/cidadaos-ajudam-a-escrever-projetos-de-lei-com-ferramenta-de-inteligencia-artificial,A.5,Herramienta de IA desplegada (fin 2025) en el Senado Federal que hace búsqueda semántica sobre el banco de 145.993 ideas legislativas ciudadanas de e-Cidadania para enlazarlas con proyectos de ley; primer caso incorporado al PL 6.125/2025. Función distinta del marcado de audiencias.,institucional,nuevo,confirmado por IPU; distinto del baseline
BR,Sao Paulo - Programa de Metas / Participe Mais (Gemini),https://participemais.prefeitura.sp.gov.br/legislation/processes/323,A.6,"Herramienta (Python + Google Gemini), aplicada en may-2025, que clasifica y rankea por tema las 6.368 propuestas ciudadanas enviadas al portal Participe Mais (Decidim) para el Programa de Metas; genera mapas de participación por subprefectura.",institucional,nuevo,verificar uso operacional oficial (programa Agentes de Gobierno Abierto)
BR,5a Conferencia Nacional de CT&I - sistematizacion con IA,https://5cncti.org.br/,A.5,200+ conferencias preparatorias con 100.000+ personas; la Subcomisión de Sistematización usó IA para procesar y organizar las contribuciones ciudadanas en el documento final que orientó la Estrategia Nacional de CT&I.,institucional,nuevo,
BR,OPA Piaui - Presupuesto Participativo Digital (Colab + AWS),https://opa.seplan.pi.gov.br/,A.5,Orçamento Participativo Digital 2025-2026 en plataforma Colab con IA de AWS que redujo 40% el tiempo de análisis de 1.311 propuestas; el rol semántico sobre el contenido (vs gestión documental) requiere confirmación.,prensa,dudoso,confirmar rol de IA sobre contenido
PA,Mansa Idea (Pacto del Bicentenario),https://mansaidea.com/,A.8,"Plataforma con IA que organiza y hace navegables 175.000+ propuestas ciudadanas del Pacto del Bicentenario, agregando consensos nacionales y provinciales por tema.",prensa,nuevo,proceso (Pacto del Bicentenario) 2020-21; la IA organiza ese corpus en 2024; sociedad civil; tecnología de IA sin identificar; ¿corpus histórico vs proceso activo?
CL,LXS 400 - Chile Delibera,https://www.senado.cl/noticias/participacion-ciudadana/chile-delibera-lxs-400-un-fin-de-semana-de-democracia-deliberativa-online,A.3,Mini-público online de 400 ciudadanos (pensiones y salud); la Stanford Online Deliberation Platform usó IA para gestionar turnos de habla y estructurar los aportes en reportes. Citado por la OCDE 2025. No está en el baseline.,institucional,nuevo,2021; nuevo para el índice
TT,EngageTT (plataforma Go Vocal),https://engage.gov.tt/projects/national-digital-transformation-strategy,A.5,"engage.gov.tt corre sobre Go Vocal (confirmado por URL interna 'e-democracy-govocal-internal'), lanzada feb-2025 para el NDTS 2024-2027 (planificación nacional participativa). Go Vocal incorpora NLP de sensemaking, pero NO está confirmado que la instancia TT lo active; AskNDTS es chatbot FAQ (excluido).",institucional,dudoso,confirmar tier/activación de IA de Go Vocal con MDT/MPAAI
VE,Plan de la Patria 7 Transformaciones - IA y Big Data,https://www.correodelorinoco.gob.ve/venezuela-impulsa-el-debate-sobre-inteligencia-artificial-bajo-principios-de-soberania-y-etica/,A.5,"Afirmación de prensa estatal (Correo del Orinoco, mar-2026): IA+Big Data procesaron 500k+ propuestas. Dato más verificable: 34.491 propuestas cargadas por rapporteurs manuales + SIG. Incluir IA es un EJE del plan, no herramienta de análisis. Sin corroboración técnica.",prensa,dudoso,fuente estatal única; ningún proveedor/académico corrobora; verificar con MPPP/MINCYT
BO,Bolivia Conversa,https://bolivia.un.org/es/185521-bolivia-conversa-un-dialogo-digital-para-construir-un-mejor-pais,A.9,"Reconfirmado: la IA agrupa conceptualmente los aportes escritos en tiempo real y los devuelve para priorización; ediciones 2021-2022, 1.500+ participantes.",institucional,reverif_baseline,
BR,Portal e-Cidadania: Marcado automático de respuestas ciudadanas en videos de audiencias públicas,https://www12.senado.leg.br/noticias/materias/2025/03/28/e-cidadania-utiliza-ia-para-marcar-respostas-aos-cidadaos-em-audiencias,A.5,Reconfirmado 2025: la IA analiza transcripciones de 1.800+ audiencias y marca 2.700+ preguntas ciudadanas como respondidas.,institucional,reverif_baseline,
BR,Plan Plurianual de la ciudad de Natal,https://www.natal.rn.gov.br/news/post2/42103,A.5,Reconfirmado: modelos de lenguaje identifican el tema de cada mensaje ciudadano por WhatsApp; nueva edición PPA 2026-2029 'Plano Natal Pra Frente'.,institucional,reverif_baseline,
