pais,medio,tipo,url,relevancia
AR,Infobae,general,https://www.infobae.com,"Líder de consumo digital en Argentina; alta frecuencia en política, gobierno y tecnología."
AR,La Nación,general,https://www.lanacion.com.ar,Segundo sitio más visitado; referente histórico de credibilidad en política y gobierno.
AR,TN (Todo Noticias),gobierno-política,https://www.tn.com.ar,Principal fuente televisiva/digital de noticias políticas en tiempo real.
BO,La Razón,general,https://larazon.bo,Principal diario digital de La Paz; referencia de cobertura política y gubernamental.
BO,El Deber,general,https://eldeber.com.bo,"Mayor diario de Santa Cruz, con alcance nacional en economía y política."
BO,Los Tiempos,general,https://www.lostiempos.com,Referente de Cochabamba y del interior; opinión política independiente.
BR,Folha de S.Paulo,general,https://www.folha.uol.com.br,Mayor periódico digital de Brasil por suscripciones; cobertura política de referencia.
BR,O Globo / Globo.com,general,https://oglobo.globo.com,Mayor audiencia del país; líder en política y tecnología.
BR,Agência Brasil (EBC),gobierno-política,https://agenciabrasil.ebc.com.br,Agencia pública de referencia; cubre participación digital y gobierno abierto.
CL,La Tercera,general,https://www.latercera.com,"Gran diario (Copesa); cobertura política, económica y tecnológica de alcance nacional."
CL,El Mercurio / Emol,general,https://www.emol.com,"Mayor tradición impresa; Emol, portal digital de alta audiencia."
CL,CIPER Chile,gobierno-política,https://www.ciperchile.cl,Centro de investigación periodística líder en credibilidad; foco en política pública y transparencia.
CO,El Tiempo,general,https://www.eltiempo.com,Diario de mayor alcance digital; referente de la agenda pública nacional.
CO,El Espectador,general,https://www.elespectador.com,"Segundo más leído; fuerte cobertura de política, sociedad y tecnología."
CO,Semana,general,https://www.semana.com,Revista de mayor influencia en análisis político y de poder.
CR,La Nación,general,https://www.nacion.com,"Diario de referencia nacional desde 1946 en política, gobierno y economía."
CR,CRHoy,general,https://www.crhoy.com,Medio digital nativo líder en audiencia; cobertura intensiva de política y gobierno.
CR,El Financiero,económico,https://www.elfinanciero.cr,Principal referente de periodismo económico; cubre tecnología y políticas públicas.
CU,Granma,gobierno-política,https://www.granma.cu,Órgano oficial del PCC; fuente primaria de política gubernamental y transformación digital.
CU,Cubadebate,gobierno-política,http://www.cubadebate.cu,Portal oficial de mayor audiencia; cubre tecnología y plataformas de IA del Estado.
