pais,caso,tipo_convocante,nivel_consolidacion,nivel_consolidacion_override,rol_IA,fuente_convocante,nota
BO,Bolivia Conversa,gobierno nacional|organización internacional,2,,contenido,Vicepresidencia del Estado Plurinacional de Bolivia y Sistema de Naciones Unidas,
BR,Portal e-Cidadania: Marcado automático de respuestas ciudadanas en videos de audiencias públicas,gobierno nacional,2,,contenido,Senado Federal de Brasil,Plataforma activa; posible nivel 3 si se verifica recurrencia (override)
BR,Plan Plurianual de la ciudad de Natal,gobierno local,2,,contenido,Prefeitura Municipal de Natal (SEMPLA),"VERIF. PROFUNDA 2026 (conf. media): rol_IA=contenido CONFIRMADO -> INCLUIR. Verbatim: «O assistente virtual, dotado de inteligência artificial, interage com os usuários em linguagem coloquial, facilitando a coleta de informações sobre as necessidades dos bairros e segmentos sociais. O assistente organiza e» [https://www.natal.rn.gov.br/news/post2/42388]"
BR,Colab,empresa,2,,contenido,Colab (plataforma GovTech),Plataforma desde 2013; posible nivel 3 con evidencia de recurrencia
BR,ParticipACT Brasil,universidad,2,,apoyo,ParticipAct (plataforma académica de ciencia ciudadana),Convocante ambiguo: universidad vs sociedad civil | VERIF. PROFUNDA 2026 (conf. alta): rol_IA=apoyo -> EXCLUIR. Verbatim: «Scalable and Cost-Effective Assignment of Mobile Crowdsensing Tasks Based on Profiling Trends and Prediction: The ParticipAct Living Lab Experience» [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570339/]
CL,Cabildos 2016,otra institución pública,2,,contenido,Biblioteca del Congreso Nacional,BCN: otra institución pública vs gobierno nacional
CL,Estudio dIAlogos - Percepciones de Futuro,sociedad civil|empresa,2,,contenido,Fundación Encuentros del Futuro y Merlín Research,
CL,Tenemos que hablar de Chile,universidad,2,,contenido,Universidad de Chile y Pontificia Universidad Católica de Chile,"Escenario B: caso en revisión (puede salir) | VERIF. PROFUNDA 2026 (conf. media): rol_IA=contenido CONFIRMADO -> INCLUIR. Verbatim: «El registro de las opiniones se realiza durante los diálogos, regido por un protocolo de anotación que los facilitadores deben seguir rigurosamente. Luego del primer proceso, aplican un algoritmo de procesamiento de leng» [https://www.uchile.cl/noticias/164987/tenemos-que-hablar-de-chile-lanza-nuevo-mecanismo-de-participacion]"
CL,Jornada de Escucha Lanzamiento Instituto de Políticas Públicas UNAB,universidad,2,,sin_IA,Universidad Andres Bello,"VERIF. PROFUNDA 2026 (conf. alta): rol_IA=sin_IA -> EXCLUIR. Verbatim: «La Universidad Andrés Bello presentó su nuevo Instituto UNAB de Políticas Públicas (IPP) a su comunidad a través de tres jornadas de escucha realizadas en Santiago, Viña del Mar y Concepción, encabezadas por el rector Ju» [https://www.elmostrador.cl/agenda-pais/2022/06/11/universidad-presento-su-nuevo-instituto-de-politicas-publicas/]"
CL,Participación Ciudadana Proceso Constitucional,gobierno nacional,2,,contenido,Secretaría de Participación Ciudadana,Aplica a los dos casos homónimos (autoconvocados y audiencias)
CL,La voz de los nuevos votantes,universidad,2,,sin_IA,Universidad Andres Bello,VERIF. PROFUNDA 2026 (conf. alta): rol_IA=sin_IA -> EXCLUIR. Verbatim: «El estudio utiliza una metodología innovadora que incluye encuestas de terreno y mecanismos participativos que reflejan la voz de los nuevos votantes.» [https://ipp.unab.cl/publicacion/la-voz-de-los-nuevos-votantes-san-bernardo/]
CL,Un encuentro para la equidad de género en la movilidad en Chile,universidad,2,,contenido,Universidad Andres Bello,
CL,Estrategia de Gobierno Digital. Informe proceso participativo segunda consulta ciudadana,gobierno nacional,2,,sin_IA,Secretaría de Gobierno Digital,"VERIF. PROFUNDA 2026 (conf. media): rol_IA=sin_IA -> EXCLUIR. Verbatim: «La Consulta Ciudadana fue realizada en conjunto entre la Secretaría de Gobierno Digital y el Laboratorio de Gobierno con el fin de recoger referencias, intereses y preocupaciones sobre cómo los organismos públicos deben » [https://www.chilecompra.cl/2024/09/consulta-ciudadana-estrategia-de-gobierno-digital-2030/]"
CO,ECHO – HáblameD Medellín,organización internacional|gobierno local,2,,contenido,UNFPA Colombia y Personería de Medellín,
